"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Thank you. Good afternoon, ladies and gentlemen. And welcome to the ADNOC Distribution Q3 earnings conference call. So I'm [indiscernible], Chief Investor Relations Officer. And I'm pleased to welcome this afternoon, Saeed Al Rashdi, acting CEO; [indisc",189,"Thank you. Good afternoon, ladies and gentlemen. And welcome to the ADNOC Distribution Q3 earnings conference call. 
So I'm [indiscernible], Chief Investor Relations Officer. And I'm pleased to welcome this afternoon, Saeed Al Rashdi, acting CEO; [indiscernible], Deputy CEO; and Petri Pentti, CFO. 
Well we'll start today by giving you an introduction to our results moving onto our operational performance and strategy, and finally work you through the highlights of the first quarter and 9 months. 
With that, we'll take your questions. Before handing it over to -- the call to Saeed, please allow me to refer you to our cautionary statements regarding forward-looking statements. This presentation includes forward-looking statements relating to our business, important factors that could cause actual results to differ materially from our expectations offering memorandum relating to our IPO and in our other investor communications. All of which are available on our website. 
I refer everyone to our website to read the full text of this disclaimer and these other material. 
I now hand over to Saeed, who will start by presenting the key highlights of the third quarter and first 9 months of 2018."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Thank you, Ajman. And good afternoon, everyone. Thank you for diving in and for joining us for today's presentation. First of all, I would like to reiterate that safety remains a core value to our business. We continue to improve and invest in safety",189,"Thank you, Ajman. And good afternoon, everyone. Thank you for diving in and for joining us for today's presentation. 
First of all, I would like to reiterate that safety remains a core value to our business. 
We continue to improve and invest in safety solutions and that is evident by extremely lower loss time and [ injury ] frequency rate and total of report injury during the period. 
Regarding the results, the third quarter has been marked by strong financial performance, driven by operational improvement and continued progress on the 3 pillars of our strategy. 
Our EBITDA is up 42% versus the third quarter of last year, and we are consistently generating more free cash flow than we did 1 year ago. 
This quarter, free cash flow is up 59% compared to the third quarter last year. The strong performance has been underpinned by continuous cost efficiency improvements as well as fuel and non-fuel retail expansion. 
We are on track to meet our announced targets for 2018, and we remain focused on delivering growth beyond that. I will now let John give you an update on our strategy. John?"
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Thank you, Saeed, Thank you for the overview. And good morning, good afternoon, and welcome to everybody on the call. Thank you for joining us. I just want to give you a brief overview of the quarter, and then I know Petri is going to take you through the",1377,"Thank you, Saeed, Thank you for the overview. And good morning, good afternoon, and welcome to everybody on the call. Thank you for joining us. I just want to give you a brief overview of the quarter, and then I know Petri is going to take you through the financials, we'll take some questions. But as you're probably aware, the oil price has increased during this quarter, in addition to that has been a prolonged Eid holidays in August and that has led to fuel retail volumes being down by 5.6% year-on-year in the third quarter. Also non-fuel transactions, we're down 15.6% year-on-year in the third quarter, impacted particularly by the implementation of that and the increased tobacco tax and sugar tax on energy and soft drinks that were implemented in Q4 of last year. 
So we're just starting to grand for that right now. 
That said, during this quarter, we as a business has continued to focus on the fuel retail and nonfuel retail and cost efficiency initiatives. Those are 3 areas and 3 buckets we continually talk about, and we've achieved some important and significant milestones during the quarter. 
In particular, the rollout of ADNOC flax, the ongoing expansion and preparation of expansion into Dubai and Saudi Arabia. As you won't expect partnerships have all shown significant progress in the quarter. 
And together with the structural resilience of our business model, this has led to a strong year-on-year financial performance in Q3. 
Performance has been demonstrated by gross profits, up by 26.5%. Our EBITDA, excluding gains was up 26%, and up 42% including those gains. 
And the generation of $899 million of free cash flow pre-dividends and finance cost in the first 9 months of 2018, showed a strong result. And this was all driven by our operational performance as well as active working capital management. 
That said, we broke down the debt -- net debt-to-EBITDA ratio down to just 0.1 as at the end of the [ 30th of September. ] 
So that's the very quick and high-level overview. Let me take you to and give you a little bit more detail around the 3 sectors I talked about. 
Starting with the fuel retail business. In 2018, we continued our growth and expansion with the opening of 5 new service stations since the beginning of the year. That brings our total number of fuel stations to 364 across 
[Technical Difficulty] 
graphic expansion. We're happy to say that we're on track to open 13 new service stations in 2018 as initially targeted, of which 3 stations will be opened in Dubai over the next few weeks. 
On top of that, we're planning to open at least 1 new station in Saudi Arabia in Quarter 4 and actually would expect that may actually be true. 
And our expansion into Dubai, we will continue to deliver further growth in North area during 2019. 
During this quarter, we've also witnessed a 2.2% year-on-year increase in fuel transaction, and that's really been driven by customers fueling more frequently, but at lower average volumes during the higher oil flex. 
Our ADNOC flex initiative had been successfully rolled out across our entire network now of service station. We set this target at [indiscernible] that we've actually delivered this milestone ahead of target, with the final sites having been rolled out during October. 
Today, our retail customers are now able to choose between our premium of self-service. This initiative has been part of the wider commitment. To move to a smarter, customer-centric market, that offers our customers a real choice, convenience and better quality of fuel products and services. 
The premium service that we launched [indiscernible] at a price of [ 10 DM ] per transaction, which was at the high end, at the top end of our IPO and announcement, and it's been positively received in the market. 
Indeed our premium fueling service has experienced initial penetration level of 20% on average during the third quarter. 
At the end of the last quarter, together with the launch of ADNOC flex and as part of our management initiative to improve customer service, we also launched a rewards program. 
Giving those premium fueling customers awards that can be deemed, and we're linked to our convenience stores. 
As planned, we will also continue our footprint expansion and roll out ADNOC flex across all new stations that will be open in the future. 
Let's move on then to nonfuel retail. As mentioned we continue to progress on the implementation of our nonfuel retail initiatives. 
We've added 6 new convenience store since the beginning of the year, leading to a total now of 241 convenience stores at the end of Q3 as part of management initiatives to improve customer shopping experience, products and service quality, we continue to revitalize and refurbish our existing convenience stores. 
Some notable highlights are that since the beginning of the year and as part of a partnership with [indiscernible], we have converted 5 stores in Tucson express, and we will build or convert 8 additional locations by the end of this year, that will give us 13 [indiscernible]  expressed stores in 2018, compared to the 10 announced during the last quarter. 
An initial operation result of our current [indiscernible] stores have been very encouraging. We've also introduced a new coffee and fresh bakery concept to newly branded Oasis Café. And we started with 4 shops. 
And this overall revitalization process has increased our average [ factory ] size by 22% year-on-year in Q3, up from about 18% in Q2. And therefore, despite the 15.6% decrease year-on-year in the nonfuel transaction that I spoke about, I'm really pleased to say that our nonfuel retail growth profit, including [ allied ] services is actually up 8.1% year-on-year in Q3. 
After the quarter-over-quarter comparison, we've reported higher nonfuel retail transactions and conversion rates versus the second quarter of 2018 on the back of better product category management, fuel revitalization and promotion, including the flex award that I talked about earlier. 
And we remain very confident that we will continue to see continued progress on our announced initiative during Q4. 
Finally, let's move on to the cost efficiency. We continue to achieve good progress in managing our operational and CapEx expenditures, adjusted for nonrecurring spent, which we would include civil aviation [indiscernible] bonus that we paid in in June and the restructuring cost. 
Our cash on [indiscernible] basis, actually decreased by 9.8%, year-on-year, during the third quarter 2018, and has decreased 2.9% in the 9 months to the end of September. 
The team has been focused on delivering cost discipline across the group multiple cost reduction initiatives have been implemented, including targeting strategic sourcing and third party contracting negotiations. And these have led to impressive results. 
So we are proud that we're ahead of the [ $50 million ] of ADNOC savings that we targeted on a like-for-like basis for 2018. 
On our capital expenditure front, we've achieved [ to date of ] 10% reduction in CapEx requirement for the construction of new stock. We're aiming to go further and achieve that reduction of up to 40% in the cost of new style, starting in 2019. 
To date, we spent $143 million, including the opening of flight station in 2018, which on an adjusted basis is 18.2% lower compared to the first 9 months of 2017. 
We are on track to open additional stations before the end of the year, which leads to a total of 13 stations in 2018 and a further station at least in Saudi Arabia. 
Looking at the outlook for 2018, we expect CapEx for the year of up to $210 million, which is below our guidance of the IPO of [ $215 million to $250 million ], I should say. This is higher though then we announced last quarter, which was the CapEx target of $190 million. But the extra $20 million is only driven by a strategic accelerations in Dubai and technology and infrastructure upgrade, which were originally planned for 2019. 
I hope that gives you a feel and an overview for our progress to date, and particularly, quarter 3 of 2018. And I'd now like to hand over to Petri to present the financial highlights of our performance."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Many thanks, John. And good morning, and good afternoon from my side as well. All the initiatives mentioned by John earlier have had a positive impact on our results. Our EBITDA performance has strongly increased during the course of third quarter and the",703,"Many thanks, John. And good morning, and good afternoon from my side as well. All the initiatives mentioned by John earlier have had a positive impact on our results. Our EBITDA performance has strongly increased during the course of third quarter and the first 9 months of the year. And this is due to first -- the pricing of fuel [indiscernible], the renewal of refined products, play agreement with ADNOC. 
And second, inventory gains, driven by higher oil prices, leading to $21 million additional EBITDA in the third quarter and $80 million additional EBITDA since the beginning of the year. 
Our underlying EBITDA performance, excluding inventory gains has also significantly increased by 26% year-on-year in the third quarter 2018. 
It is also important to note that our industry leading margins has continued to improve on the back of our cost efficiency initiatives. 
Overall, this strong profitable improvement along whit the significant reduction in CapEx has led to 67.6% year-on-year increase in our adjusted free cash flow, defined as EBITDA minus CapEx. 
Let me specifically now talk about the reported actual gas movements during the first 9 months of the year. 
As John pointed out earlier, [ gas ] from Axel operations amounted during the 9 months to $586 million. In a recent, $432 million have been generated from working capital, and this is mainly driven by the increase in our credit terms as part of our supply agreement with ADNOC from 30 days to 60 days. 
At year end, we expect this amount was still significant to be slightly lower than the Q3 figure. And finally, including finest cost of $200 million dividend paid in April, total cash generates and amounted to $680 million during the first 9 months of the year. 
Our first gas [indiscernible] has increased to $1.4 billion as of the end of the third quarter, and this is resulting in a net-debt-to EBITDA ratio of only [ 0.1x compared to 1.7x ] as of the [ 31st ] of last year in December. 
And finally, on November 1st, we paid our shareholders the first dividend transfer of $200 million, they made it to fiscal year 2018 as an interim dividend. And this is leading to a total amount of $400 million paid to our shareholders during calendar year 2018. 
Let me highlight a couple of key takeaways in terms of financial and operational metrics. 
As you can see, we've witnessed strong financial results during the third quarter, gross profit is up by 26.5%. EBITDA stated 42% and net income 55% year-on-year. 
This performance has been resilient. There's quite market headwinds, leading to 5.3% a decrease during the first quarter in total fuel volume served with retail fuel volumes down 5.6% year-on-year. 
Let me now move on to give you a more detailed overview [ for ] our segments. 
We have witnessed strong year-on-year gross profit growth across all segments. This quarter with double-digit and aviation growth of 33.7% and 34.8%, respectively. This growth has been coupled with same gross profit margin across fuel and nonfuel retail and segments despite, lower volumes. 
On the Fuel -- Nonfuel Retail segment gross profit margin has increased by 200 basis points, year-on-year, for 21.1% in the third quarter. 
Also nonfuel retail gross profit allied services has increased by 8.1 -- 8.1% year-on-year in the third quarter. 
Our Corporate segment gross profit has increasers by 9.1% in the third quarter, year-on-year, and this is on the back of more proactive fuel pricing, particularly in our diesel. 
Finally, the Aviation segment has benefited from the chance of contractual profile, got to cost plus 8% compensation from our parent company. 
A couple of takeaways with respect to EBITDA per segment. The Fuel and Nonfuel Retail segments witnessed the significant increase in EBITDA, which almost doubled year-on-year. 
And this was driven by the continuous implementation of our cost initiatives. The cost monitoring has also led to an improvement of regional EBITDA margin by a 420 basis points to 10.9%. 
The 21.7 decrease in aviation EBITDA during the third quarter was impacted by lower volumes and the inclusion of unrecoverable costs in civil aviation fueling services. With that, let me now hand over to Saeed for the outlook."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Thank you, Petri. So in summary, we are brought to the end of the year with momentum after another set of resilient results in the third quarter. Our priority remains the execution of our strategy initiatives, and we are confident that we will deliver on",174,"Thank you, Petri. So in summary, we are brought to the end of the year with momentum after another set of resilient results in the third quarter. Our priority remains the execution of our strategy initiatives, and we are confident that we will deliver on those initiatives, except for 2018. 
We would also continue our expansion in both fuel and nonfuel retailers with entrance to the Dubai and international market, while pursuing our efforts on cost efficiencies and working capital management. 
We are confident for the recovery and the median to turn and median turn in light of the significant government investments that have been announced and we have and also confident on the market expected for the economy. Finally we remain grateful for our shareholders continued belief and ADNOC distribution, future growth and positive development. We will continue to pursue our work efficient to transform the company into a more efficient performance driven, commercially minded and customer focused business. Thank you for listening and with that, we will now hand over to questions."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Operator","[Operator Instructions] Our first question comes from [indiscernible].",8,"[Operator Instructions] Our first question comes from [indiscernible]."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Analysts","Couple of questions, if I may. First one is on the fuel margin. I mean, clearly the higher oil prices are benefiting on the revenue across the different segments, but if we just do some calculation, I think you've mentioned the number in terms of inventor",368,"Couple of questions, if I may. First one is on the fuel margin. I mean, clearly the higher oil prices are benefiting on the revenue across the different segments, but if we just do some calculation, I think you've mentioned the number in terms of inventory gain, I am getting something closer to 48, there [indiscernible] in terms of gross margin versus around 0.4 to 8 -- sorry, versus 0.33. 
I just wanted to look at given where the oil price backdrop, I mean, in 2, 3 quarters, we might have a different discussion and oil prices are down and these inventory gains might move into losses. 
So my question is what is the sustainable gross margin that we can look at if we take out the gain, you're running at around [ $0.43 per liter]. 
Does this make sense? Am I missing something here? So this is my first question. The second question, if I may, on the non-fuel retail. You mentioned the gross profit with the allied services, but if we take the allied services out, the numbers are much more muted in terms of growth, only up 3% in Q3. 
And just looking at the numbers, nonfuel transactions are down, basket size is up, conversion ratio is down year-over-year.
So I mean, I'm just trying to understand are you happy with the performance of the nonfuel retail? Is there any guidance or targets that you have in mind that you want to reach, because I remember at the time of the IPO, you've establish some part as in terms of conversion ratio, but clearly, you're still well, well below those. So any updates on that? 
And finally, John you were on [ Bloomberg ], [indiscernible] talking about Saudi expansions. I'm just wondering, the model for this expansion now given that the pricing hasn't changed. Your peers in Saudi Arabia, like [indiscernible], are struggling with an EBIT margin of around maybe 3%, 4% on fuel, while you guys are sitting at double digits. So why start at this time, unless its a fansize mode, and you're going to get a management fee. 
Sorry, I know it's a lot of questions. But that's it from my end."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Okay. Thank you very much. Well, let me try and start with your fuel margin. I think we have been trying to be much more transparency side. This time in terms of the impact of oil price gains. And we said, in the quarter it was about $20 million and year-",258,"Okay. Thank you very much. Well, let me try and start with your fuel margin. I think we have been trying to be much more transparency side. This time in terms of the impact of oil price gains. And we said, in the quarter it was about $20 million and year-to-date [ $80 million]. So those are the best figures we can come up with and I think to react with. 
In terms of our fuel margin behind that, I think, if you back those out and you get to your [ point 4 3], I think, that's a reasonable target. 
And you question therefore on oil prices going down. I think that plays very strongly to the backstop. we have -- and I know backstop is bad word, but the backed up we have in terms of our margin. 
So don't forget we have a guaranteed margin. And that margin is guaranteed by the government, it turns [indiscernible]. the oil prices were to go down significantly next year. We still have that guaranteed margin to ADNOC as well. 
So we don't see as risk over an annual period, a 12-month period, on oil prices. If oil prices were to go down significantly in quarter 4, we would have some impact on that. But we feel pretty resilient to round that. 
Hope that answers the question, but I think it's a bad thing. Yes, we captured the upside, and we don't lose the downside over the 12-month period. 
In our non fuel retail -- sorry, please go ahead."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Analysts","No, no. Just on this, I mean, the non [indiscernible], excluding the inventory gains, the [ 43], since I mentioned, this looks like a sustainable number, even of oil price, I don't know, by next year same time are down 40%, 50%, is this a reasonable way t",51,"No, no. Just on this, I mean, the non [indiscernible], excluding the inventory gains, the [ 43], since I mentioned, this looks like a sustainable number, even of oil price, I don't know, by next year same time are down 40%, 50%, is this a reasonable way to think about it?"
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Yes. In our nonfuel retail business, you're right, it's up 3%. We feel very pleased with that for a couple of reasons, one is the market has been a tough market this year with the introduction of that, and in particular, at the end of Q3, last year the su",216,"Yes. In our nonfuel retail business, you're right, it's up 3%. We feel very pleased with that for a couple of reasons, one is the market has been a tough market this year with the introduction of that, and in particular, at the end of Q3, last year the sugar tax and the tobacco tax. 
And what we saw after that was a significant uplift in Q3 last year, people buying upfront of that, and a significant drop into Q4. 
And therefore, what I expect to see going forward as we now come out of the period, and we have a much more like-for-like basis is better frequent comparison year-on-year. 
That said, our conversion rate is still lower than we would like it to be. We have a given guidance that our nonfuel growth profit as a percentage of our oil prices [ was below ] 10%. We're creeping up, but our target is a 25% target, and that remains 25% to 50% in the long run, remains our target to bear. 
So we are happy that we have started the journey, we are less happy at the pace of it, but actually we're seeing some good acceleration what the [indiscernible] with the Oasis and with the our management, [ Q2 -- Q3 to ] Q4."
